S.no,Reviews
471,Five Stars
472,'Fully SATISFIED'
473,Five Stars
474,Excellent
475,Installation next day.
476,Tata sky hd is real hd
477,One of the best offers to buy a tata sky
478,Four Stars
479,Good product. great voice and video quality
480,Five Stars
481,Five Stars
482,Five Stars
483,Great Product Just Go for it
484,Five Stars
485,Good product with less price!
486,Good
487,Awesome..
488,Five Stars
489,Awesome Service
490,genuine product
491, good price
492,Tata sky
493,Tata sky SD display is very poor quality
494,Always Tata sky
495,Five Stars
496,Five Stars
497,4 🌟
498,Nothing
499,One Star
500,Five Stars
501,One Star
502,Best Option to Buy Tata Sky DTH
503,Five Stars
504,One Star
505,good
506,BAD.
507,Five Stars
508,Five Stars
509,Five Stars
510,Four Stars
511,quickest service by dthindia..
512,working fine
513,Awesome
514,Good service
515,Five Stars
516,Five Stars
517,Five Stars
518,Five Stars
519,Five Stars
520,Five Stars
521,Nice product and best price and fast delivery
522,Deliverd b4time
523,Five Stars
524,One Star
525,Super fast installation.
526,Five Stars
527,Four Stars
528,Five Stars
529,happy to use tatasky
530,Five Stars
531,MYCHOICE 20: He is not supportive.
532,Five Stars
533,Three Stars
534,Four Stars
535,Five Stars
536,Very quick deliver and installation
537,Three Stars
538,Super and fast service of Tata Sky and Seller.
539,10 meter wire not given by them
540,Five Stars
541,Five Stars
542,perfect.. got it installed in 4hours of order ...
543,Good product & good service from Tata sky for installation
544,Five Stars
545,Four Stars
546,tooo late product install
547,Five Stars
548,Poor service by provider
549,excellent
550,Review for tata sky
551,Three Stars
552,Five Stars
553,Five Stars
554,Five Stars
555,Five Stars
556,Four Stars
557,Five Stars
558,Quality with cost
559,Super
560,Satisfied with product
561,One Star
562,Five Stars
563,Three Stars
564,Five Stars
565,Great price range but must buy with annual pack
566,Four Stars
567,nice
568,Four Stars
569,Five Stars
570,Five Stars
571,One Star
572,Five Stars
573,Fit for your LED tv
574,Four Stars
575,Four Stars
576,Four Stars
577,Five Stars
578,Good and promt delivary
579,Five Stars
580,Nice deal
581,good
582,Five Stars
583,Five Stars
584,Five Stars
585,Excellent
586,Best Service
587,Five Stars
588,Five Stars
589,Five Stars
590,Five Stars
591,Excellent 
592, convenient and best buy
593,Nice Product.
594,Four Stars
595,Five Stars
596,Four Stars
597,Two Stars
598,Five Stars
599,Great deal and super fast service experience
600,Five Stars
601,Five Stars
602,Five Stars
603,Five Stars
604,Great quality
605,This product is excellent. I really like it
606,Four Stars
607,veryyyy goood dth
608,Nicr
609,Five Stars
610,Spectacular experience
611,Five Stars
612,Four Stars
613,Life jinghalala
614,Five Stars
615,Quality Product with Cheaper Price and Faster Delivery and Installation
616,Good
617,Cheated
618,low price in amazon .save money also
619,Four Stars
620,Five Stars
621,Wow
622,esko lga dala life zinga lala
623,Five Stars
624,Very Good Thank You Amazon I am Order 3pm and Installation ...
625,Five Stars
626,Four Stars
627,Four Stars
628,Four Stars
629,Five Stars
630,Five Stars
631,:)
632,goodness is wordless
633,Best one in market
634,Real product
635,Four Stars
636,Five Stars
637,Five Stars
638,One Star
639,Five Stars
640,Excellent seller
641, quick service
642,Five Stars
643,Dish
644,very nice product
645,Good response from the team
646,Five Stars
647,Product differs as shown in amazon. Remote is small ...
648,Five Stars
649,Five Stars
650,Good one
651,Five Stars
652,Five Stars
653,Five Stars
654,Five Stars
655,great! the best DTH
656,Five Stars
657,One Star
658,Five Stars
659,excellent service at very less price
660,Excellent product
661,Four Stars
662,Five Stars
663,Five Stars
664,Five Stars
665,Four Stars
666,Awesome product delivery
667,Four Stars
668,Five Stars
669,Four Stars
670,Five Stars
671,Three Stars
672,Five Stars
673,Five Stars
674,Three Stars
675,Cheaper than MARKET PRICE. Fast installation
676,Five Stars
677,Five Stars
678,Superb
679,Best deal
680,Five Stars
681,Five Stars
682,Five Stars
683,Four Stars
684,Five Stars
685,Five Stars
686,Everything is done on the same day..
687,Buy don't Afraid
688,Four Stars
689,Five Stars
690,Five Stars
691,Three Stars
692,Excellent.
693,Very low price
694,Five Stars
695,good brand
696,amazing
697,Five Stars
698,Good services by DTH
699,Five Stars
700,Great Service
701,Best Connection
702,Amazing service
703,Five Stars
704,its good
705, but free pack
706,One Star
707,Bad
708,excellant work in amazing price.
709,Four Stars
710,SUPERB FAST Delivery and SUPERB PRODUCT!!!
711,Five Stars
712,Five Stars
713,worth
714,Four Stars
715,Four Stars
716,Five Stars
717,Nice !!
718,Five Stars
719,Very good product.
720,Five Stars
721,Five Stars
722,Excellent service
723,Five Stars
724,Four Stars
725,extremely Good job
726,Five Stars
727,Five Stars
728,Five Stars
729,great work... go ahead guys
730,Tata sky custemer service very😪Bad
731,Four Stars
732,Four Stars
733,Three Stars
734,kudos DTH
735,Five Stars
736,Four Stars
737,Awesome product.
738,Four Stars
739,Four Stars
740,Five Stars
741,Four Stars
742,Great product at low price and quick delivery
743,Five Stars
744,Five Stars
745,Very good product and service.
746,Five Stars
747,Five Stars
748,Five Stars
749,Four Stars
750,Five Stars
751,Five Stars
752,Five Stars
753,Five Stars
754,best deal
755,Five Stars
756,Five Stars
757,Five Stars
758,Nice
759,Great service good to choose
760,quick installation
761,Four Stars
762,Five Stars
763,Five Stars
764,deserves applaud
765,Five Stars
766,Five Stars
767,Five Stars
768,Five Stars
769,Good
770,Five Stars
771,Five Stars
772,Five Stars
773,Five Stars
774,Must Read...
775,Five Stars
776,5 star service.
777,Five Stars
778,Four Stars
779,Five Stars
780,Very good
781,Five Stars
782,I recommend this product from DTH Seller
783,Five Stars
784,Four Stars
785,Five Stars
786,Five Stars
787,good service by tata sky
788,Five Stars
789,AmaZing
790,Good
791,Five Stars
792,Five Stars
793,Four Stars
794,Five Stars
795,m happy with the
796,it really good. on 3rd day they have installed
797,Five Stars
798,Five Stars
799,Five Stars
800,Three Stars
801,Five Stars
802,Good
803,Four Stars
804,Five Stars
805,Four Stars
806,Four Stars
807,Two Stars
808,Isko laga dala to jinga lala
809,Five Stars
810,Four Stars
811,Don't think just buy
812,Four Stars
813,Five Stars
814,Best seller. Ship with in 12 hours.
815,Free 1 month service. Pay only what you watch.
816,Four Stars
817,Five Stars
818,Five Stars
819,Five Stars
820,Four Stars
821,Five Stars
822,Five Stars
823,Four Stars
824,Good
825,Five Stars
826,Five Stars
827,Five Stars
828,Five Stars
829,Five Stars
830,Three Stars
831,Nice.....
832,Four Stars
833,Very good service
834,Five Stars
835,Five Stars
836,great service from seller
837,Five Stars
838,Five Stars
839,Prompt delivery
840,Five Stars
841,Five Stars
842,Five Stars
843,Five Stars
844,Five Stars
845,good
846,Five Stars
847,Five Stars
848,Five Stars
849,Five Stars
850,One Star
851,amazon is the best
852,Four Stars
853,Five Stars
854,I'd give 6 stars if possible
855,Five Stars
856,Five Stars
857,Five Stars
858,GUD DEAL
859,Five Stars
860,Two Stars
861,Five Stars
862,Great Product @ affordable prices.
863,Five Stars
864,Five Stars
865,Four Stars
866,Excellent product and service
867,Five Stars
868,Three Stars
869,Three Stars
870,Five Stars
871,Five Stars
872,Five Stars
873,Five Stars
874,Five Stars
875,Five Stars
876,Five Stars
877,Five Stars
878,Five Stars
879,Five Stars
880,Four Stars
881,Four Stars
882,Five Stars
883,Five Stars
884,Four Stars
885,Two Stars
886,Five Stars
887,Five Stars
888,Five Stars
889,Five Stars
890,Five Stars
891,Five Stars
892,Five Stars
893,Four Stars
894,Five Stars
895,Five Stars
896,Very good
897,Four Stars
898,Four Stars
899,Five Stars
900,Five Stars
901,Three Stars
902,Superb Product and Brilliant Service. Giving a detailed Review Of this Product.
903,but its better not to tell
904,Four Stars
905,Three Stars
906,Best and Cheapest tata sky ever got
907,This vendor is looting and proning to be fooled- Hidden charges
908,Good product....INSTALLATION GUY HEADACHE!!!!!!!!!!!!
909,very good Co-ordination between Amazon
910,Super cheats
911,★~★Very Good Amzon-seller!.★~★Recommending!★Thank you!★~★ Good wishes!
912,Good to go but be careful with the package
913,Best DTH at best price
914,Real Cheaters
915,Same day installatio/activation. Charged extra for some socket
916,Four Stars
917,Subscription monthly fee due date is till 27-12-16. but what happen on new massage?
918,goottt in 1250 rs only...thanku amazon
919,Real Jingalala Deal
920,Product was good and delivered we'll in time
921,Tata Sky Excellent clarity and sound effect and super fast delivery
922,Suprefast and hassle-free installation
923,Genuine Suggestions - Cheap Package and Good HD contents
924,Thoroughly unprofessional
925,Close your eyes and buy it from here
926,SUPER FAST DELIVERY
927,He did something there which was unnecessary and then he peeped into the children's bedroom
928,This product tata sky is very very good
929, super clarity and sound effect
930,good product and service
931,AWESOME. Didn't believe the deal from Amazon before I ...
932,Great price and Great offer online compared market price/tata sky website.
933,Worst response of tata
934,Feeling Happy with Tatasky HD connection
935,awasome 
936,amazing in such low cost go for it
937,Very bad experience. Stay away from this seller and Tatasky.
938,Nothing can beat Tata Sky :-)
939,Go for It
940,worst service i had ever seen
941,Smooth Experience
942,id you buy from tata sky site that's better one you get here in 1575rs dhamal mix 285 ...
943,Perfect service by Engineer..
944,Dont but tata sky
945,Very bad experience.
946,If you have an LCD or that big tv andwatch Full HD videos on it and now you expect ...
947,Perfect Deal!
948,life jhinga la la
949,Perfect
950,Good Work done by Tata Sky/Amazon
951,Worst customer service Tata Sky through Amazon
952,Very nice and fast  service by amazon
953,TATA Sky is Top!
954,Awesome
955,Order details
956,tata sky is the best dth than others so efficience Vikash
957,Thumps up to the service- DTHIndia and Amazon Team.
958,Does not work in a cloudy climate. Tata Sky ...
959,Amazon is Amazing
960,Best buy on Amazon For satellite TV
961,Good and fast service Tata sky technician is also good ...
962,super fast service. activated in 7 hours.
963,Unreliable tata sky service persons.
964,It was a good buy. Got it under 1400/-
965,Exacly as explained
966,Fake add ! one month free subscription
967,Very happy with price they are offering
968,Excellent service
969,as we expect from Amazon
970,horrible service
971,Excellent Product
972,Two Stars
973,amazing product this is new and no extra charged paid ...
974,Really a Awesome experience qith you
975,Very good and quick service from Siddhi DTH and Tata Sky.
976,I want to view only tamil channels
977, whereas i ...
978,tata sky hd
979,Super happy!
980,... the device yet and the service was also very good. Ordered previous night and got it installed on ...
981,Great Hd experience
982,Great deal
983,The best Dish TV
984,Good
985,The technician took 100 rupees as he gave 6mtr exctra ...
986,Very Good seller and Very good Product from TATA Sky
987,Five Stars
988,Appreciation
989,Good product at this price range
990,Its Really Awesome. They Delivered with in 1 Day
991,Slow performance
992,Excellent
993,Still needs to be improved.
994,Excellent Service by both distributor and service provider :)
995,DTHIndia - THE BEST
996,Good
997,Best connection Tata sky
998,Great product. good experience once again from the great ...
999,The quality of the picture and sounds are very good. The customer care response is very speed if ...
1000,Product is nice. But we experienced worrest thing with installation services
1001,This product is very bad service.and also too costly
1002,Additional Charge
1003,One Star
1004,Excellent
1005,Awesome Vendor & Tatasky
1006,Installation Guys charged 150 even after saying installation is 100% ...
1007,Excellent picture clarity for HD channels.
1008,Unbelievable 
1009, Mindblowing Service
1010,Go to the shop ignore this guy
1011,niche product and fast service
1012,The.  Best Service
1013,Bad service
1014,Five Stars
1015,Excellent service by Amazon
1016,Three Stars
1017,tata sky packages good..
1018,Good service
1019,product received at time but installation is not done well ...
1020,Five Stars
1021,Cool
1022,Installed on next day of order
1023,Cheap price and best product!
1024,Five Stars
1025,Excellent service by tata sky
1026,Fast delivery. fast installation. rate is very less ...
1027,Five Stars
1028,Cheated by DTH vison/amazon
1029,Excellent ! Excellent ! Excellent !
1030,Five Stars
1031,Five Stars
1032,Very much disappointed with this
1033,Five Stars
1034,Five Stars
1035,Thank you Amazon for excellent customer service
1036,Five Stars
1037,Five Stars
1038,Excellent service
1039,I Just loved the service provided by Bulbul dot com
1040,Tata sky is good product for watching TV
1041,Five Stars
1042,Delivered well before time. Tata sky installation was absolutely ...
1043,My seller is in Other State but Delivery through local Tata Sky Technician with in 48 hours.  Good installation.
1044,Five Stars
1045,product is really good but installation services is very poor
1046,Good Product. Excellent service by the provider
1047,Right product
1048,awwsomee
1049,worth buying
1050,Five Stars
1051,good service.
1052,Amazon the great..
1053,nice service by DTH india technician
1054,Five Stars
1055,One Star
1056,Very good product
1057,Very nice
1058,Tata sky very good sevice Philips demanded installation cost 1200 for Led
1059,One Star
1060,Five Stars
1061,this is very well and
1062, delivered with in 3 ...
1063,Five Stars
1064,Four Stars
1065,Great service Amazon and Tata
1066,Good picture quality and channels in less cost.
1067,Nice deal and service.
1068,... has very fast delivery time and product is very good.
1069,Five Stars
1070,I had purchased it at a very nominal cost n ...
1071,Four Stars
1072,One Star
1073,Five Stars
1074,Five Stars
1075,good
1076,Five Stars
1077,Superb
1078,Timely delivery
1079,Two Stars
1080,Complite originol product
1081,Great experience
1082,Four Stars
1083,Five Stars
1084,Five Stars
1085,Product is nice
1086,Five Stars
1087,I give 5 star
1088,One Star
1089,Good Service and product.
1090,awesome
1091,SD channels are poor than cable TV channels
1092,Five Stars
1093,must try
1094,Five Stars
1095,Two Stars
1096,Rip off service from Tata
1097,Five Stars
1098,Simpal
1099,Four Stars
1100,Four Stars
1101,Five Stars
1102,Ordered on Sat evening.. Amazon people called on ...
1103,Five Stars
1104,Five Stars
1105,Quality superb package expensive airtel slight better in package
1106,Great product but beware of the installation guy
1107,Works like a charm
1108,Very bad service
1109,Great Hd experience & super fast Installation
1110,WORST CUSTOMER SERVICE EVER
1111,Poor installation service
1112,Cheaper at Amazon compared to TataSky website.
1113,service and product very good but USB port use less it's not working. this is only show pice
1114,I purchased DTH with 1 month Dhamal pack free. ...
1115,Fraud seller.
1116,Cheated in the name of uograde
1117,One Star
1118,Best for LeEco Letv 55 4K Android TV !!!
1119,In terms of signal quality it is very bad and every month you need to pay RS
1120,Four Stars
1121,Awesome Service in 20Hours.
1122,Five Stars
1123,Five Stars
1124,good value for money
1125,excellent
1126,Five Stars
1127,Five Stars
1128,Misguiding the customers
1129,One Star
1130,Five Stars
1131,I came to know that all DTH operators are doing like this. Fastest installation
1132,DO NOT BUY TATASKY EVER
1133,Not bad...but customer satisfaction and objective not met.
1134,Worst Service
1135,Go For Your Local Cable TV Operator.
1136,Better customer service to deal any queries and issues in ...
1137,I want to take a new tata sky connection so ...
1138,News channel dropped from pacakage
1139,Horrible
1140,Awesome service by Amazon
1141,TATA SKY is besr
1142,Worst dth service ever
1143,Amazon is always best shopping platform
1144,Tata Sky - It Couldnt get any better
1145,Airtel DTH rocks !!
1146,One Star
1147,Way better than dishtv n
1148,AWFUL EXPERIENCE WITH SELLER
1149,Thanks amazon and
1150,good after sales service
1151,Worst experience
1152,Avarage plan
1153,it's costly.
1154,Installing Tatasky is full paisa vasul
1155,Subscription for sd in hd set top box
1156,IF I PURCHASED YOU GAVE ME 10 METER WIRE. ...
1157,One Star
1158,very nice
1159,Installed before time amazing experience .
1160,Perfect
1161,Good
1162,One Star
1163,good
1164,One of the best till date -Value added
1165,Good
1166,Good set top box
1167,In this box contains three cable wire connector.. ...
1168,Not recharge pack
1169,fully satisfied
1170, keep it up
1171,Better
1172,WiFi
1173,Good
1174,Two Stars
1175,Three Stars
1176,Three Stars
1177,Working perfectly
1178, I thought this would create problem if ...
1179,best deal as always!
1180,Three Stars
1181,Three Stars
1182,Best dth compared to other
1183,Yuor hd setup box direct ru n with my monitor ...
1184,Five Stars
1185,FTA
1186,Four Stars
1187,Tata sky is qulity
1188,Tata sky services not upto mark
1189,deffe
1190,Five Stars
1191,490 is fake price
1192,Extremely poor service. They only include 10 mts wire and ...
1193,Cool offer must buy 5 stars to amazon
1194,Installation charges
1195,Worst product and service provider tatasky
1196,tata sky cheater
1197,Four Stars
1198,Details of products
1199,Five Stars
1200,Extra installation  charge
1201,Three Stars
1202,I want to own Tata Sky HD but would like to know about installation
1203,Nice
1204,So fast
1205,Cheater
1206,Worst services!!!!!
1207,After sales service
1208,Tata Sky worst Customer Care
1209,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1210,Basically cheats people
1211,Pay less watch more no extra charges
1212,"Good service, but did you read the fine print?"
1213,Basically cheats people
1214,Tata Sky worst Customer Care
1215,Poor Services - Not received right gift yet
1216,A good DTH Alternative
1217,A good DTH Alternative
1218,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1219,Tata Sky Customer Service
1220,A good DTH Alternative
1221,Secondary account Dilemma.
1222,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1223,Seems to be a good Choice
1224,Basically cheats people
1225,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1226,Cheater
1227,Worst Service
1228,Poor Services - Not received right gift yet
1229,Service
1230,1 Month Experience With Tata Sky
1231,After sales service
1232,Secondary account Dilemma.
1233,Worst services!!!!!
1234,Seems to be a good Choice
1235,Tata sky
1236,Cheater
1237,Seems to be a good Choice
1238,Worst product for ever please don't get fool
1239,DONT EVER TAKE TATA SKY!!!
1240,DONT EVER TAKE TATA SKY!!!
1241,1 Month Experience With Tata Sky
1242,Worst serivces
1243,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1244,Best source to be entertained
1245,"Good service, but did you read the fine print?"
1246,Worst serivces
1247,Best source to be entertained
1248,The sky finally lands in India...
1249,Poor Services - Not received right gift yet
